date,open,high,low,close,volume,symbol
2024-09-19,441.23,441.5,436.9,438.69,21706600,MSFT
2024-09-20,437.22,439.24,434.22,435.27,55167100,MSFT
2024-09-23,434.28,436.46,430.39,433.51,15128900,MSFT
2024-09-24,433.0,433.35,426.1,429.17,17015800,MSFT
2024-09-25,429.83,433.12,428.57,432.11,13396400,MSFT
2024-09-26,435.09,435.3,429.13,431.31,14492000,MSFT
2024-09-27,431.52,431.85,427.47,428.02,14896100,MSFT
2024-09-30,428.21,430.42,425.37,430.3,16807300,MSFT
2024-10-01,428.45,428.48,418.81,420.69,19092900,MSFT
2024-10-02,422.58,422.82,416.71,417.13,16582300,MSFT
2024-10-03,417.63,419.55,414.29,416.54,13686400,MSFT
2024-10-04,418.24,419.75,414.97,416.06,19169700,MSFT
2024-10-07,416.0,417.11,409.0,409.54,20919800,MSFT
2024-10-08,410.9,415.66,408.17,414.71,19229300,MSFT
2024-10-09,415.86,420.38,414.3,417.46,14974300,MSFT
2024-10-10,415.23,417.35,413.15,415.84,13848400,MSFT
2024-10-11,416.14,417.13,413.25,416.32,14144900,MSFT
2024-10-14,417.77,424.04,417.52,419.14,16653100,MSFT
2024-10-15,422.18,422.48,415.26,418.74,18900200,MSFT
2024-10-16,415.17,416.36,410.48,416.12,15508900,MSFT
2024-10-17,422.36,422.5,415.59,416.72,14820000,MSFT
2024-10-18,417.14,419.65,416.26,418.16,17145300,MSFT
2024-10-21,416.12,418.96,413.75,418.78,14206100,MSFT
2024-10-22,418.49,430.58,418.04,427.51,25482200,MSFT
2024-10-23,430.86,431.08,422.53,424.6,19654400,MSFT
2024-10-24,425.33,425.98,422.4,424.73,13581600,MSFT
2024-10-25,426.76,432.52,426.57,428.15,16899100,MSFT
2024-10-28,431.66,431.94,426.3,426.59,14882400,MSFT
2024-10-29,428.0,433.17,425.8,431.95,17644100,MSFT
2024-10-30,437.44,438.5,432.1,432.53,29749100,MSFT
2024-10-31,415.36,416.16,406.3,406.35,53971000,MSFT
2024-11-01,409.01,415.5,407.5,410.37,24230400,MSFT
2024-11-04,409.8,410.42,405.57,408.46,19672300,MSFT
2024-11-05,408.37,414.9,408.08,411.46,17626000,MSFT
2024-11-06,412.42,420.45,410.52,420.18,26681800,MSFT
2024-11-07,421.28,426.85,419.88,425.43,19901800,MSFT
2024-11-08,425.32,426.5,421.78,422.54,16891400,MSFT
2024-11-11,422.52,424.81,416.0,418.01,24503300,MSFT
2024-11-12,418.25,424.44,417.2,423.03,19401200,MSFT
2024-11-13,421.64,429.33,418.21,425.2,21502200,MSFT
2024-11-14,425.0,428.17,420.0,426.89,30246900,MSFT
2024-11-15,419.82,422.8,413.64,415.0,28247600,MSFT
2024-11-18,414.87,418.4,412.1,415.76,24727000,MSFT
2024-11-19,413.11,417.94,411.55,417.79,18133500,MSFT
2024-11-20,416.87,417.29,410.58,415.49,19191700,MSFT
2024-11-21,419.5,419.78,410.29,412.87,20780200,MSFT
2024-11-22,411.37,417.4,411.06,417.0,24814600,MSFT
2024-11-25,418.38,421.08,414.85,418.79,27691100,MSFT
2024-11-26,419.59,429.04,418.85,427.99,23458900,MSFT
2024-11-27,425.11,427.23,422.02,422.99,18332400,MSFT
2024-11-29,420.09,424.88,417.8,423.46,16271900,MSFT
2024-12-02,421.57,433.0,421.31,430.98,20207200,MSFT
2024-12-03,429.84,432.47,427.74,431.2,18302000,MSFT
2024-12-04,433.03,439.67,432.63,437.42,26009400,MSFT
2024-12-05,437.92,444.66,436.17,442.62,21697800,MSFT
2024-12-06,442.3,446.1,441.77,443.57,18821000,MSFT
2024-12-09,442.6,448.33,440.5,446.02,19144400,MSFT
2024-12-10,444.39,449.62,441.6,443.33,18469500,MSFT
2024-12-11,444.05,450.35,444.05,448.99,19200200,MSFT
2024-12-12,449.11,456.16,449.11,449.56,20834800,MSFT
2024-12-13,448.44,451.43,445.58,447.27,20177800,MSFT
2024-12-16,447.27,452.18,445.28,451.59,23598800,MSFT
2024-12-17,451.01,455.29,449.57,454.46,22733500,MSFT
2024-12-18,451.32,452.65,437.02,437.39,24444500,MSFT
2024-12-19,441.62,443.18,436.32,437.03,22963700,MSFT
2024-12-20,433.11,443.74,428.63,436.6,64263700,MSFT
2024-12-23,436.74,437.65,432.83,435.25,19152500,MSFT
2024-12-24,434.65,439.6,434.19,439.33,7164500,MSFT
2024-12-26,439.08,440.94,436.63,438.11,8194200,MSFT
2024-12-27,434.6,435.22,426.35,430.53,18117700,MSFT
2024-12-30,426.06,427.55,421.9,424.83,13158700,MSFT
